Z,Object,abs_pct_error
1,H,3.12
2,He,0.6
3,Li,0.59
4,Be,0.46
5,B,1.39
6,C,0.62
7,N,0.58
8,O,0.53
9,F,0.43
10,Ne,1.42
11,Na,0.41
12,Mg,1.78
13,Al,0.4
14,Si,0.83
15,P,0.39
16,S,0.72
17,Cl,1.74
18,Ar,0.22
19,K,0.74
20,Ca,0.73
21,Sc,0.31
22,Ti,0.1
23,V,0.24
24,Cr,0.38
25,Mn,0.25
26,Fe,0.12
27,Co,0.26
28,Ni,0.08
29,Cu,0.35
30,Zn,0.97
31,Ga,0.07
32,Ge,0.2
33,As,0.21
34,Se,0.24
35,Br,0.18
36,Kr,0.03
37,Rb,0.84
38,Sr,0.15
39,Y,0.2
40,Zr,0.56
41,Nb,0.21
42,Mo,0.25
43,Tc,0.31
44,Ru,0.37
45,Rh,0.21
46,Pd,0.68
47,Ag,0.17
48,Cd,0.63
49,In,0.11
50,Sn,0.004
51,Sb,0.04
52,Te,0.12
53,I,0.15
54,Xe,0.43
55,Cs,0.15
56,Ba,0.44
57,La,0.14
58,Ce,0.3
59,Pr,0.17
60,Nd,0.39
61,Pm,0.24
62,Sm,0.45
63,Eu,0.19
64,Gd,0.35
65,Tb,0.15
66,Dy,0.12
67,Ho,0.15
68,Er,0.35
69,Tm,0.16
70,Yb,0.21
71,Lu,0.17
72,Hf,0.46
73,Ta,0.15
74,W,0.09
75,Re,0.29
76,Os,0.29
77,Ir,0.28
78,Pt,0.21
79,Au,0.15
80,Hg,0.05
81,Tl,0.34
82,Pb,0.25
83,Bi,0.15
84,Po,0.17
85,At,0.18
86,Rn,0.12
87,Fr,0.13
88,Ra,0.13
89,Ac,0.14
90,Th,0.14
91,Pa,0.16
92,U,0.13
